[A1] Crawl inventory: https://thongtaccongquangninh.com
[A1] URL publish audit: 87
  [47/87] https://thongtaccongquangninh.com/nao-vet-ho-ga-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,FAQPage,Service,HowTo metaLen=153
  [48/87] https://thongtaccongquangninh.com/nao-vet-ho-ga/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,Service,FAQPage metaLen=156
  [49/87] https://thongtaccongquangninh.com/nguyen-nhan-cong-tac-thuong-xuyen-ha-long/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,FAQPage,Service metaLen=154
  [50/87] https://thongtaccongquangninh.com/nguyen-song-hao/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,FAQPage metaLen=154
  [51/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-ban-dem-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=151
  [52/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-bi-tac/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=157
  [53/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-cam-pha/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,Service,FAQPage metaLen=150
  [54/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-dong-trieu/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,Service,FAQPage metaLen=159
  [55/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-ha-long/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,Service,FAQPage metaLen=158
  [56/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-khach-san-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=159
  [57/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-khan-cap-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=157
  [58/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-khong-duc-pha-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=157
  [59/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-mong-cai/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,Service,FAQPage metaLen=154
  [60/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-nha-dan-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=160
  [61/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-nha-hang-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=152
  [62/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,Service,FAQPage metaLen=157
  [63/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-quang-yen/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,Service,FAQPage metaLen=160
  [64/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-uong-bi/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,Service,FAQPage metaLen=155
  [65/87] https://thongtaccongquangninh.com/thong-tac-bon-cau-van-don/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,Service,FAQPage metaLen=153
  [66/87] https://thongtaccongquangninh.com/thong-tac-chau-rua-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,FAQPage,Service metaLen=157
  [67/87] https://thongtaccongquangninh.com/thong-tac-cong-24-7-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=152
  [68/87] https://thongtaccongquangninh.com/thong-tac-cong-bai-chay/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=150
  [69/87] https://thongtaccongquangninh.com/thong-tac-cong-cam-pha/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,FAQPage,Service metaLen=150
  [70/87] https://thongtaccongquangninh.com/thong-tac-cong-cao-xanh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=156
  [71/87] https://thongtaccongquangninh.com/thong-tac-cong-chung-cu-ha-long/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,FAQPage,Service metaLen=158
  [72/87] https://thongtaccongquangninh.com/thong-tac-cong-dong-trieu/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,Service,FAQPage metaLen=158
  [73/87] https://thongtaccongquangninh.com/thong-tac-cong-gieng-day/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,FAQPage,HowTo,Service metaLen=155
  [74/87] https://thongtaccongquangninh.com/thong-tac-cong-ha-long/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,FAQPage,Service metaLen=156
  [75/87] https://thongtaccongquangninh.com/thong-tac-cong-hong-gai/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=151
